curr_state	curr_action	next_reward	next_state
1151	1	0	1264
1264	1	0	1393
1393	0	0	1529
1529	-1	0	1656
1656	1	0	1785
1785	0	0	1913
1913	1	0	2042
2042	1	0	2043
2043	-1	0	1914
1914	-1	0	1913
1913	0	0	2041
2041	-1	0	2040
2040	1	0	2041
2041	0	0	2041
2041	-1	0	2040
2040	-1	0	2047
2047	1	0	2032
2032	-1	0	2039
2039	0	0	2031
2031	1	0	2016
2016	-1	0	2023
2023	-1	0	2014
2014	-1	0	2005
2005	-1	0	1868
1868	-1	0	1739
1739	1	0	1620
1620	1	0	1493
1493	-1	0	1356
1356	-1	0	1227
1227	0	0	1107
1107	-1	0	986
986	0	0	994
